Serial Number:20541928 --

Date Time - GMT +09:00,"Temp, (*C)","Intensity, (lux)",Button Down,Button Up,Host Connect,EOF,
2020-08-28 05:30:00,25.99,0, , , , ,
2020-08-28 05:40:00,25.99,7, , , , ,
2020-08-28 05:50:00,26.04,48, , , , ,
2020-08-28 06:00:00,26.04,122, , , , ,
2020-08-28 06:10:00,26.04,207, , , , ,
2020-08-28 06:20:00,26.04,302, , , , ,
2020-08-28 06:30:00,26.04,513, , , , ,
2020-08-28 06:40:00,25.99,666, , , , ,
2020-08-28 06:50:00,25.99,864, , , , ,
2020-08-28 07:00:00,25.99,788, , , , ,
2020-08-28 07:10:00,26.04,1080, , , , ,
2020-08-28 07:20:00,26.08,558, , , , ,
2020-08-28 07:30:00,26.04,520, , , , ,
2020-08-28 07:40:00,26.04,390, , , , ,
2020-08-28 07:50:00,26.04,387, , , , ,
2020-08-28 08:00:00,26.04,352, , , , ,
2020-08-28 08:10:00,25.99,361, , , , ,
2020-08-28 08:20:00,26.04,313, , , , ,
2020-08-28 08:30:00,25.99,351, , , , ,
2020-08-28 08:40:00,26.08,391, , , , ,
2020-08-28 08:50:00,26.04,494, , , , ,
2020-08-28 09:00:00,26.04,596, , , , ,
2020-08-28 09:10:00,26.04,683, , , , ,
2020-08-28 09:20:00,26.08,674, , , , ,
2020-08-28 09:30:00,26.08,1010, , , , ,
2020-08-28 09:40:00,26.12,1097, , , , ,
2020-08-28 09:50:00,26.12,1157, , , , ,
2020-08-28 10:00:00,26.12,1256, , , , ,
2020-08-28 10:10:00,26.12,1340, , , , ,
2020-08-28 10:20:00,26.08,1800, , , , ,
2020-08-28 10:30:00,26.12,2148, , , , ,
2020-08-28 10:40:00,26.17,2115, , , , ,
2020-08-28 10:50:00,26.21,2156, , , , ,
2020-08-28 11:00:00,26.17,2172, , , , ,
2020-08-28 11:10:00,26.08,1883, , , , ,
2020-08-28 11:20:00,26.17,1699, , , , ,
2020-08-28 11:30:00,26.17,1745, , , , ,
2020-08-28 11:40:00,26.21,2093, , , , ,
2020-08-28 11:50:00,26.21,2595, , , , ,
2020-08-28 12:00:00,26.25,1519, , , , ,
2020-08-28 12:10:00,26.25,2196, , , , ,
2020-08-28 12:20:00,26.30,2131, , , , ,
2020-08-28 12:30:00,26.21,2115, , , , ,
2020-08-28 12:40:00,26.25,2526, , , , ,
2020-08-28 12:50:00,26.25,3500, , , , ,
2020-08-28 13:00:00,26.21,4044, , , , ,
2020-08-28 13:10:00,26.25,3585, , , , ,
2020-08-28 13:20:00,26.25,2982, , , , ,
2020-08-28 13:30:00,26.25,2260, , , , ,
2020-08-28 13:40:00,26.21,1777, , , , ,
2020-08-28 13:50:00,26.25,1507, , , , ,
2020-08-28 14:00:00,26.25,1270, , , , ,
2020-08-28 14:10:00,26.30,1324, , , , ,
2020-08-28 14:20:00,26.25,1622, , , , ,
2020-08-28 14:30:00,26.25,1980, , , , ,
2020-08-28 14:40:00,26.30,3103, , , , ,
2020-08-28 14:50:00,26.34,3731, , , , ,
2020-08-28 15:00:00,26.38,4531, , , , ,
2020-08-28 15:10:00,26.42,5034, , , , ,
2020-08-28 15:20:00,26.38,5108, , , , ,
2020-08-28 15:30:00,26.42,5371, , , , ,
2020-08-28 15:40:00,26.38,5394, , , , ,
2020-08-28 15:50:00,26.47,5801, , , , ,
2020-08-28 16:00:00,26.42,5066, , , , ,
2020-08-28 16:10:00,26.47,4852, , , , ,
2020-08-28 16:20:00,26.38,4321, , , , ,
2020-08-28 16:30:00,26.38,3663, , , , ,
2020-08-28 16:40:00,26.38,3169, , , , ,
2020-08-28 16:50:00,26.42,3121, , , , ,
